order_id,due date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2
1,67959,3,FUSE0,9,FUSE1,9,FUSE2,8
2,391235,1,FUSE0,9,FUSE1,9,FUSE2,9
3,391807,1,FUSE0,7,FUSE1,7,FUSE2,8
4,391476,1,FUSE0,9,FUSE1,8,FUSE2,9
5,54444,2,FUSE0,8,FUSE1,8,FUSE2,7
6,106008,2,FUSE0,9,FUSE1,9,FUSE2,8
7,59418,1,FUSE0,9,FUSE1,9,FUSE2,10
8,99887,1,FUSE0,8,FUSE1,8,FUSE2,9
9,172144,1,FUSE0,8,FUSE1,8,FUSE2,8
10,22314,3,FUSE0,7,FUSE1,8,FUSE2,8
11,41495,1,FUSE0,9,FUSE1,9,FUSE2,9
12,428791,1,FUSE0,9,FUSE1,9,FUSE2,9
13,332129,1,FUSE0,8,FUSE1,9,FUSE2,9
14,325362,1,FUSE0,8,FUSE1,8,FUSE2,9
15,524436,5,FUSE0,8,FUSE1,8,FUSE2,7
16,13067,1,FUSE0,8,FUSE1,8,FUSE2,8
17,436995,1,FUSE0,10,FUSE1,10,FUSE2,9
18,548492,1,FUSE0,9,FUSE1,9,FUSE2,10
19,445906,2,FUSE0,10,FUSE1,10,FUSE2,10
20,535182,2,FUSE0,9,FUSE1,9,FUSE2,8
21,121563,5,FUSE0,9,FUSE1,9,FUSE2,9
22,421531,4,FUSE0,8,FUSE1,8,FUSE2,8
23,227912,1,FUSE0,7,FUSE1,7,FUSE2,7
24,100084,4,FUSE0,8,FUSE1,8,FUSE2,9
25,443756,3,FUSE0,6,FUSE1,7,FUSE2,7
26,246334,1,FUSE0,8,FUSE1,8,FUSE2,8
27,369964,1,FUSE0,8,FUSE1,8,FUSE2,9
28,61592,1,FUSE0,6,FUSE1,6,FUSE2,8
29,87556,3,FUSE0,9,FUSE1,9,FUSE2,10
30,272654,1,FUSE0,8,FUSE1,8,FUSE2,8
31,394156,2,FUSE0,9,FUSE1,9,FUSE2,8
32,70915,2,FUSE0,7,FUSE1,7,FUSE2,8
33,162944,1,FUSE0,10,FUSE1,9,FUSE2,10
34,133079,1,FUSE0,8,FUSE1,9,FUSE2,9
35,212570,1,FUSE0,9,FUSE1,10,FUSE2,10
36,62595,1,FUSE0,8,FUSE1,8,FUSE2,8
37,266578,5,FUSE0,9,FUSE1,9,FUSE2,10
38,221948,5,FUSE0,8,FUSE1,8,FUSE2,9
39,68021,1,FUSE0,8,FUSE1,8,FUSE2,9
40,337310,2,FUSE0,9,FUSE1,9,FUSE2,9
41,422205,1,FUSE0,8,FUSE1,8,FUSE2,8
42,362774,1,FUSE0,9,FUSE1,9,FUSE2,10
43,389851,3,FUSE0,9,FUSE1,9,FUSE2,8
44,291445,1,FUSE0,8,FUSE1,8,FUSE2,8
45,249881,1,FUSE0,8,FUSE1,8,FUSE2,8
46,85436,1,FUSE0,8,FUSE1,8,FUSE2,9
47,571085,4,FUSE0,8,FUSE1,8,FUSE2,7
48,229576,2,FUSE0,7,FUSE1,7,FUSE2,9
49,35094,1,FUSE0,8,FUSE1,8,FUSE2,10
50,410735,1,FUSE0,8,FUSE1,8,FUSE2,8
51,530827,2,FUSE0,8,FUSE1,8,FUSE2,7
52,155474,3,FUSE0,9,FUSE1,8,FUSE2,9
53,380718,1,FUSE0,8,FUSE1,7,FUSE2,8
54,436940,1,FUSE0,8,FUSE1,8,FUSE2,8
55,451513,3,FUSE0,8,FUSE1,8,FUSE2,9
56,540176,1,FUSE0,9,FUSE1,9,FUSE2,10
57,176159,2,FUSE0,9,FUSE1,8,FUSE2,9
58,273381,5,FUSE0,8,FUSE1,8,FUSE2,7
59,104278,3,FUSE0,7,FUSE1,7,FUSE2,8
60,410591,1,FUSE0,8,FUSE1,8,FUSE2,8
61,332219,2,FUSE0,8,FUSE1,8,FUSE2,7
62,389667,1,FUSE0,9,FUSE1,9,FUSE2,10
63,319542,1,FUSE0,8,FUSE1,8,FUSE2,7
64,450187,1,FUSE0,9,FUSE1,9,FUSE2,9
65,420598,1,FUSE0,9,FUSE1,9,FUSE2,9
66,272354,3,FUSE0,8,FUSE1,8,FUSE2,8
67,103876,1,FUSE0,7,FUSE1,7,FUSE2,6
68,151976,1,FUSE0,9,FUSE1,9,FUSE2,9
69,24355,5,FUSE0,9,FUSE1,9,FUSE2,9
70,520193,3,FUSE0,8,FUSE1,8,FUSE2,8
71,309078,1,FUSE0,9,FUSE1,9,FUSE2,9
72,506599,2,FUSE0,9,FUSE1,9,FUSE2,9
73,538545,2,FUSE0,6,FUSE1,6,FUSE2,7
74,155528,3,FUSE0,8,FUSE1,8,FUSE2,8
75,453794,1,FUSE0,7,FUSE1,7,FUSE2,7
76,207896,1,FUSE0,9,FUSE1,9,FUSE2,9
77,554962,5,FUSE0,8,FUSE1,9,FUSE2,9
78,58770,1,FUSE0,8,FUSE1,9,FUSE2,9
79,561331,1,FUSE0,8,FUSE1,8,FUSE2,8
80,73540,3,FUSE0,8,FUSE1,8,FUSE2,7
81,210761,1,FUSE0,8,FUSE1,9,FUSE2,9
82,42452,1,FUSE0,9,FUSE1,9,FUSE2,9
83,515473,1,FUSE0,7,FUSE1,7,FUSE2,8
84,227094,3,FUSE0,9,FUSE1,9,FUSE2,9
85,429473,2,FUSE0,10,FUSE1,10,FUSE2,9
86,38325,1,FUSE0,8,FUSE1,8,FUSE2,9
87,244998,4,FUSE0,9,FUSE1,9,FUSE2,9
88,74635,4,FUSE0,9,FUSE1,8,FUSE2,9
89,443056,1,FUSE0,8,FUSE1,8,FUSE2,7
90,528820,1,FUSE0,9,FUSE1,9,FUSE2,9
91,428496,1,FUSE0,8,FUSE1,8,FUSE2,7
92,170787,1,FUSE0,8,FUSE1,8,FUSE2,8
93,320713,3,FUSE0,7,FUSE1,7,FUSE2,8
94,20416,1,FUSE0,9,FUSE1,9,FUSE2,8
95,377592,1,FUSE0,10,FUSE1,9,FUSE2,10
96,543756,1,FUSE0,9,FUSE1,9,FUSE2,9
97,120745,1,FUSE0,9,FUSE1,9,FUSE2,8
98,167628,1,FUSE0,9,FUSE1,9,FUSE2,10
99,201252,2,FUSE0,9,FUSE1,8,FUSE2,9
100,547557,2,FUSE0,10,FUSE1,9,FUSE2,9
101,454836,1,FUSE0,8,FUSE1,8,FUSE2,9
102,57639,1,FUSE0,9,FUSE1,9,FUSE2,11
103,254970,4,FUSE0,8,FUSE1,8,FUSE2,9
104,95785,1,FUSE0,7,FUSE1,7,FUSE2,7
105,516055,2,FUSE0,7,FUSE1,7,FUSE2,8
106,105909,3,FUSE0,8,FUSE1,8,FUSE2,8
107,99779,1,FUSE0,7,FUSE1,7,FUSE2,7
108,444193,5,FUSE0,8,FUSE1,8,FUSE2,9
109,309671,1,FUSE0,9,FUSE1,9,FUSE2,8
110,304423,1,FUSE0,9,FUSE1,9,FUSE2,10
111,290520,1,FUSE0,9,FUSE1,9,FUSE2,10
112,293380,1,FUSE0,9,FUSE1,9,FUSE2,9
113,225741,1,FUSE0,9,FUSE1,9,FUSE2,10
114,568149,1,FUSE0,7,FUSE1,8,FUSE2,8
115,125793,1,FUSE0,8,FUSE1,8,FUSE2,7
116,124540,3,FUSE0,9,FUSE1,8,FUSE2,9
117,309936,1,FUSE0,9,FUSE1,9,FUSE2,8
118,143355,1,FUSE0,7,FUSE1,7,FUSE2,6
119,364802,2,FUSE0,9,FUSE1,9,FUSE2,9
120,480445,1,FUSE0,8,FUSE1,8,FUSE2,8
121,278544,1,FUSE0,8,FUSE1,8,FUSE2,7
122,455439,1,FUSE0,8,FUSE1,8,FUSE2,8
123,342715,3,FUSE0,8,FUSE1,8,FUSE2,9
