order_id,due date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,planned_day
138,11359,3,FUSE0,8,FUSE1,8,FUSE2,9,1,1
268,13443,2,FUSE0,8,FUSE1,8,FUSE2,7,1,1
4,15964,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1
13,16584,1,FUSE0,9,FUSE1,8,FUSE2,9,1,1
143,16856,2,FUSE0,8,FUSE1,8,FUSE2,7,1,1
196,16919,3,FUSE0,9,FUSE1,9,FUSE2,9,1,1
142,17627,1,FUSE0,7,FUSE1,7,FUSE2,8,1,1
97,20249,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1
103,21403,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1
37,21987,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1
140,23033,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1
46,24803,4,FUSE0,8,FUSE1,8,FUSE2,8,1,1
133,29185,1,FUSE0,9,FUSE1,9,FUSE2,10,1,1
180,29417,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1
22,31754,1,FUSE0,7,FUSE1,7,FUSE2,8,1,1
262,31950,2,FUSE0,9,FUSE1,9,FUSE2,9,1,1
300,32406,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1
235,32802,1,FUSE0,8,FUSE1,7,FUSE2,8,1,1
343,36515,1,FUSE0,10,FUSE1,10,FUSE2,9,1,2
218,38388,1,FUSE0,7,FUSE1,7,FUSE2,8,1,2
30,38463,1,FUSE0,9,FUSE1,9,FUSE2,10,1,2
128,40146,1,FUSE0,8,FUSE1,8,FUSE2,10,1,2
33,40552,1,FUSE0,9,FUSE1,9,FUSE2,9,1,2
126,40978,3,FUSE0,8,FUSE1,8,FUSE2,9,1,2
267,41507,2,FUSE0,7,FUSE1,8,FUSE2,8,1,2
27,43643,1,FUSE0,7,FUSE1,7,FUSE2,6,1,2
55,45301,2,FUSE0,8,FUSE1,8,FUSE2,9,1,2
45,45313,1,FUSE0,6,FUSE1,6,FUSE2,6,1,2
302,45443,1,FUSE0,9,FUSE1,9,FUSE2,9,1,2
198,45882,1,FUSE0,8,FUSE1,8,FUSE2,8,1,2
183,46665,2,FUSE0,8,FUSE1,8,FUSE2,7,1,2
124,48411,1,FUSE0,7,FUSE1,7,FUSE2,8,1,2
43,48971,1,FUSE0,9,FUSE1,9,FUSE2,9,1,2
298,50753,1,FUSE0,9,FUSE1,9,FUSE2,10,1,2
310,51376,1,FUSE0,9,FUSE1,9,FUSE2,8,1,2
38,57209,1,FUSE0,9,FUSE1,8,FUSE2,9,1,2
232,58070,1,FUSE0,7,FUSE1,7,FUSE2,8,1,3
323,59719,3,FUSE0,9,FUSE1,8,FUSE2,9,1,3
34,60988,1,FUSE0,8,FUSE1,8,FUSE2,7,1,3
32,64373,1,FUSE0,8,FUSE1,8,FUSE2,8,1,3
230,65640,3,FUSE0,8,FUSE1,8,FUSE2,9,1,3
216,69915,1,FUSE0,9,FUSE1,8,FUSE2,9,1,3
65,72578,2,FUSE0,7,FUSE1,7,FUSE2,8,1,3
285,74676,1,FUSE0,8,FUSE1,8,FUSE2,8,1,3
240,78719,1,FUSE0,9,FUSE1,9,FUSE2,9,1,3
227,81066,1,FUSE0,9,FUSE1,9,FUSE2,8,1,3
243,85828,1,FUSE0,8,FUSE1,8,FUSE2,7,1,3
299,89323,1,FUSE0,6,FUSE1,6,FUSE2,7,1,3
251,91540,5,FUSE0,7,FUSE1,7,FUSE2,6,1,3
174,91878,1,FUSE0,9,FUSE1,9,FUSE2,9,1,3
116,92479,1,FUSE0,8,FUSE1,8,FUSE2,8,1,3
221,95837,1,FUSE0,8,FUSE1,8,FUSE2,8,1,3
7,99292,1,FUSE0,9,FUSE1,9,FUSE2,9,1,3
270,101444,3,FUSE0,9,FUSE1,9,FUSE2,10,1,3
57,103470,2,FUSE0,7,FUSE1,7,FUSE2,7,1,4
217,103822,1,FUSE0,9,FUSE1,9,FUSE2,9,1,4
53,103868,1,FUSE0,9,FUSE1,9,FUSE2,9,1,4
201,107068,1,FUSE0,9,FUSE1,9,FUSE2,10,1,4
266,107723,1,FUSE0,9,FUSE1,9,FUSE2,8,1,4
350,108042,2,FUSE0,7,FUSE1,7,FUSE2,6,1,4
91,111291,1,FUSE0,9,FUSE1,9,FUSE2,8,1,4
130,113704,1,FUSE0,8,FUSE1,8,FUSE2,7,1,4
250,114955,1,FUSE0,8,FUSE1,8,FUSE2,9,1,4
9,117605,1,FUSE0,8,FUSE1,8,FUSE2,7,1,4
321,118385,2,FUSE0,9,FUSE1,9,FUSE2,10,1,4
112,118600,2,FUSE0,7,FUSE1,7,FUSE2,9,1,4
346,119393,1,FUSE0,10,FUSE1,10,FUSE2,11,1,4
17,121109,1,FUSE0,7,FUSE1,7,FUSE2,8,1,4
220,121207,1,FUSE0,8,FUSE1,8,FUSE2,7,1,4
245,121952,1,FUSE0,9,FUSE1,9,FUSE2,9,1,4
308,122105,2,FUSE0,8,FUSE1,8,FUSE2,9,1,4
204,124009,1,FUSE0,8,FUSE1,8,FUSE2,7,1,5
237,124687,1,FUSE0,10,FUSE1,10,FUSE2,9,1,5
12,125040,2,FUSE0,8,FUSE1,8,FUSE2,9,1,5
2,126958,2,FUSE0,9,FUSE1,9,FUSE2,10,1,5
279,128452,1,FUSE0,8,FUSE1,8,FUSE2,9,1,5
26,128870,2,FUSE0,8,FUSE1,8,FUSE2,8,1,5
