unit_id,orderID,variant,first_arrival_time_s,start_time_s,completion_time_s,flow_time_s,active_flow_time_s,time_spent_producing,throughput_efficiency,Attempts,route_taken
U7925,317,FUSE0,0.0,0.0,1208.0,1208.0,1208.0,941.0,0.778974,1,p:1.1.1.1.3.2
U7926,317,FUSE0,0.0,0.0,1365.6,1365.6,1365.6,941.0,0.689074,1,p:2.2.2.1.2.2
U7928,317,FUSE0,0.0,112.2,1564.8,1564.8,1564.8,941.0,0.601355,1,p:2.1.4.2.2.1
U7927,317,FUSE0,0.0,112.2,2409.2,2409.2,2409.2,941.0,0.390586,1,p:1.3.3.1.1.2
U7929,317,FUSE0,0.0,224.4,1481.6,1481.6,1481.6,941.0,0.635124,1,p:1.2.1.1.3.2
U7930,317,FUSE0,0.0,224.4,1680.8,1680.8,1680.8,941.0,0.559852,1,p:2.3.2.2.3.1
U7932,317,FUSE0,0.0,336.6,2566.709,2566.709,2566.709,941.0,0.366617,1,p:2.2.3.2.1.1
U7931,317,FUSE0,0.0,336.6,1761.6,1761.6,1761.6,941.0,0.534173,1,p:1.1.5.1.2.2
U7933,317,FUSE1,0.0,448.8,1877.6,1877.6,1877.6,1003.0,0.534193,1,p:1.3.1.1.3.2
U7934,317,FUSE1,0.0,448.8,1980.4,1980.4,1980.4,1003.0,0.506463,1,p:2.1.4.2.2.1
U7936,317,FUSE1,0.0,561.0,2096.4,2096.4,2096.4,1003.0,0.478439,1,p:2.3.3.1.3.1
U7935,317,FUSE1,0.0,561.0,2757.2,2757.2,2757.2,1003.0,0.363775,1,p:1.2.2.1.1.2
U7937,317,FUSE1,0.0,673.2,2177.2,2177.2,2177.2,1003.0,0.460683,1,p:1.1.5.2.2.2
U7938,317,FUSE1,0.0,673.2,2933.4,2933.4,2933.4,1003.0,0.341924,1,p:2.2.1.1.1.1
U7939,317,FUSE1,0.0,785.4,2293.2,2293.2,2293.2,1003.0,0.43738,1,p:1.3.2.2.3.2
U7940,317,FUSE1,0.0,785.4,2372.0,2372.0,2372.0,1003.0,0.42285,1,p:2.1.4.1.2.1
U7941,317,FUSE2,0.0,897.6,2525.2,2525.2,2525.2,1035.4,0.410027,1,p:1.2.3.1.3.2
U7942,317,FUSE2,0.0,897.6,2682.709,2682.709,2682.709,1035.4,0.385953,1,p:2.3.5.1.2.1
U7944,317,FUSE2,0.0,1009.8,2641.2,2641.2,2641.2,1035.4,0.392019,1,p:2.2.2.2.3.2
U7943,317,FUSE2,0.0,1009.8,3110.2,3110.2,3110.2,1035.4,0.332905,1,p:1.1.1.2.1.2
U7946,317,FUSE2,0.0,1122.0,2873.2,2873.2,2873.2,1035.4,0.360365,1,p:2.1.3.2.2.2
U7945,317,FUSE2,0.0,1122.0,3305.0,3305.0,3305.0,1035.4,0.313283,1,p:1.3.4.1.1.1
U7947,317,FUSE2,0.0,1234.2,3463.0,3463.0,3463.0,1035.4,0.298989,1,p:1.2.5.2.1.2
U7948,317,FUSE2,0.0,1234.2,2817.4,2817.4,2817.4,1035.4,0.367502,1,p:2.3.1.1.3.1
U6152,246,FUSE0,0.0,1346.4,3049.4,3049.4,3049.4,941.0,0.308585,1,p:1.1.2.1.2.1
U6153,246,FUSE0,0.0,1346.4,2994.2,2994.2,2994.2,941.0,0.314274,1,p:2.2.4.2.3.2
U6154,246,FUSE0,0.0,1458.6,3657.8,3657.8,3657.8,941.0,0.257258,1,p:1.3.3.1.1.1
U6155,246,FUSE0,0.0,1458.6,3815.8,3815.8,3815.8,941.0,0.246606,1,p:2.1.2.2.1.2
U6156,246,FUSE0,0.0,1570.8,3189.0,3189.0,3189.0,941.0,0.295077,1,p:1.2.5.1.3.1
U6157,246,FUSE0,0.0,1570.8,3226.2,3226.2,3226.2,941.0,0.291674,1,p:2.3.1.2.2.2
U6159,246,FUSE0,1239.3,1683.0,3347.0,2107.7,2107.7,941.0,0.446458,1,p:2.2.3.2.3.2
U6160,246,FUSE1,1396.9,1795.2,3541.8,2144.9,2144.9,1003.0,0.467621,1,p:1.3.2.1.3.1
U6161,246,FUSE1,1512.9,1795.2,3579.0,2066.1,2066.1,1003.0,0.485456,1,p:2.1.5.2.2.2
U6162,246,FUSE1,1596.1,1907.4,4010.6,2414.5,2414.5,1003.0,0.415407,1,p:1.2.1.1.1.1
U6163,246,FUSE1,1712.1,1907.4,4185.4,2473.3,2473.3,1003.0,0.405531,1,p:2.3.4.2.1.2
U6164,246,FUSE1,1792.9,2019.6,3773.8,1980.9,1980.9,1003.0,0.506336,1,p:1.1.3.1.2.1
U6165,246,FUSE1,1908.9,2019.6,3931.8,2022.9,2022.9,1003.0,0.495823,1,p:2.2.2.2.2.2
U6166,246,FUSE1,2011.7,2131.8,3699.8,1688.1,1688.1,1003.0,0.594159,1,p:1.3.1.2.3.2
U6167,246,FUSE1,2127.7,2131.8,4380.2,2252.5,2252.5,1003.0,0.445283,1,p:2.1.5.1.1.1
U6168,246,FUSE2,2208.5,2244.0,3894.6,1686.1,1686.1,1035.4,0.61408,1,p:1.2.4.1.3.1
U6169,246,FUSE2,2324.5,2324.5,4554.2,2229.7,2229.7,1035.4,0.464367,1,p:2.3.3.2.1.2
U6170,246,FUSE2,2403.3,2403.3,4731.8,2328.5,2328.5,1035.4,0.444664,1,p:1.1.2.1.1.1
U6171,246,FUSE2,2440.5,2440.5,4069.4,1628.9,1628.9,1035.4,0.635644,1,p:2.2.5.2.3.2
U6172,246,FUSE2,2556.5,2556.5,4126.6,1570.1,1570.1,1035.4,0.659448,1,p:1.3.1.1.2.1
U6173,246,FUSE2,2598.009,2598.009,4301.4,1703.391,1703.391,1035.4,0.607846,1,p:2.1.4.2.2.2
U6174,246,FUSE2,2672.5,2672.5,4264.2,1591.7,1591.7,1035.4,0.650499,1,p:1.2.3.1.3.1
U6175,246,FUSE2,2714.009,2714.009,4438.2,1724.191,1724.191,1035.4,0.600514,1,p:2.3.2.2.3.2
U8152,326,FUSE0,2788.5,2788.5,4902.2,2113.7,2113.7,941.0,0.445191,1,p:1.1.5.2.1.2
U8153,326,FUSE0,2848.7,2848.7,4496.2,1647.5,1647.5,941.0,0.571168,1,p:2.2.1.1.2.1
U8154,326,FUSE0,2904.5,2904.5,5084.6,2180.1,2180.1,941.0,0.431632,1,p:1.3.4.1.1.1
E001,364,FUSE0,2964.7,2964.7,4786.2,1821.5,1821.5,941.0,0.516607,1,p:2.1.2.1.2.2
E002,364,FUSE0,3025.5,3025.5,4847.8,1822.3,1822.3,941.0,0.51638,1,p:1.2.4.2.3.1
E003,364,FUSE0,3080.7,3080.7,4615.8,1535.1,1535.1,941.0,0.612989,1,p:2.3.3.2.2.1
E004,364,FUSE0,3141.5,3141.5,4670.2,1528.7,1528.7,941.0,0.615556,1,p:1.1.5.1.3.2
E005,364,FUSE0,3220.3,3220.3,5018.2,1797.9,1797.9,941.0,0.523388,1,p:2.1.2.1.3.2
E006,364,FUSE0,3257.5,3257.5,5200.6,1943.1,1943.1,941.0,0.484278,1,p:1.2.1.2.1.1
E007,364,FUSE0,3336.3,3336.3,5366.2,2029.9,2029.9,941.0,0.46357,1,p:2.3.3.1.1.2
E008,364,FUSE0,3378.3,3378.3,5553.4,2175.1,2175.1,941.0,0.432624,1,p:1.1.5.2.1.1
E009,364,FUSE0,3452.3,3452.3,4968.6,1516.3,1516.3,941.0,0.62059,1,p:2.2.1.2.2.1
E010,364,FUSE1,3494.3,3494.3,5321.4,1827.1,1827.1,1003.0,0.548957,1,p:1.3.2.2.2.1
E011,364,FUSE1,3573.1,3573.1,5713.109,2140.009,2140.009,1003.0,0.46869,1,p:2.1.4.1.1.1
E012,364,FUSE1,3610.3,3610.3,5134.2,1523.9,1523.9,1003.0,0.65818,1,p:1.2.3.1.2.2
E013,364,FUSE1,3689.1,3689.1,5250.2,1561.1,1561.1,1003.0,0.642496,1,p:2.3.1.2.3.2
E014,364,FUSE1,3731.1,3731.1,5437.4,1706.3,1706.3,1003.0,0.587822,1,p:1.1.5.1.3.1
E015,364,FUSE1,3805.1,3805.1,6144.7,2339.6,2339.6,1003.0,0.428706,1,p:2.2.2.1.1.2
E016,364,FUSE1,3847.1,3847.1,5867.909,2020.809,2020.809,1003.0,0.496336,1,p:1.3.3.2.1.2
E017,364,FUSE1,3925.9,3925.9,5598.2,1672.3,1672.3,1003.0,0.599773,1,p:2.1.4.2.3.2
E018,364,FUSE1,3963.1,3963.1,5482.2,1519.1,1519.1,1003.0,0.660259,1,p:1.2.1.1.2.2
E019,364,FUSE1,4041.9,4041.9,5714.2,1672.3,1672.3,1003.0,0.599773,1,p:2.3.1.1.3.2
E020,364,FUSE2,4100.7,4100.7,8379.1,4278.4,4278.4,1035.4,0.242006,1,p:1.1.1.1.2.2
E021,364,FUSE2,4157.9,4157.9,6237.509,2079.609,2079.609,1035.4,0.497882,1,p:2.2.5.1.1.1
E022,364,FUSE2,4216.7,4216.7,5829.109,1612.409,1612.409,1035.4,0.642145,1,p:1.3.3.2.2.1
E023,364,FUSE2,4295.5,4295.5,6028.7,1733.2,1733.2,1035.4,0.597392,1,p:2.2.1.2.3.2
E024,364,FUSE2,4332.7,4332.7,6061.109,1728.409,1728.409,1035.4,0.599048,1,p:1.2.4.1.2.1
E025,364,FUSE2,4411.5,4411.5,5945.109,1533.609,1533.609,1035.4,0.675139,1,p:2.3.2.2.3.1
E026,364,FUSE2,4469.5,4469.5,6382.3,1912.8,1912.8,1035.4,0.541301,1,p:1.2.1.2.3.2
