unit_seq,order_id,unit_id,variant,route_id
1,30,U733,FUSE0,p:1.1.5.1.2.2
2,30,U734,FUSE0,p:2.1.3.1.2.2
3,30,U735,FUSE0,p:1.1.2.1.2.2
4,30,U736,FUSE0,p:2.1.4.1.2.2
5,30,U737,FUSE0,p:1.2.3.1.2.2
6,30,U738,FUSE0,p:2.1.5.1.2.2
7,30,U739,FUSE0,p:1.1.2.1.2.2
8,30,U740,FUSE0,p:2.1.1.1.2.2
9,30,U741,FUSE1,p:1.1.4.1.2.2
10,30,U742,FUSE1,p:2.1.3.1.2.2
11,30,U743,FUSE1,p:1.2.5.1.2.2
12,30,U744,FUSE1,p:2.1.2.1.2.2
13,30,U745,FUSE1,p:1.1.1.1.2.2
14,30,U746,FUSE1,p:2.1.4.1.2.2
15,30,U747,FUSE1,p:1.2.3.1.2.2
16,30,U748,FUSE1,p:2.1.5.1.2.2
17,30,U749,FUSE2,p:1.2.2.1.2.2
18,30,U750,FUSE2,p:2.1.1.1.2.2
19,30,U751,FUSE2,p:1.1.4.1.2.2
20,30,U752,FUSE2,p:2.1.5.1.2.2
21,30,U753,FUSE2,p:1.1.3.1.2.2
22,30,U754,FUSE2,p:2.1.2.1.2.2
23,30,U755,FUSE2,p:1.1.1.1.2.2
24,30,U756,FUSE2,p:2.1.4.1.2.2
25,30,U757,FUSE2,p:1.1.3.1.2.2
26,350,U8756,FUSE1,p:1.1.1.1.2.2
27,350,U8760,FUSE2,p:1.1.2.1.2.2
28,350,U8761,FUSE2,p:2.1.1.1.2.2
29,350,U8762,FUSE2,p:1.1.4.1.2.2
30,350,U8763,FUSE2,p:2.1.5.1.2.2
31,350,U8764,FUSE2,p:1.1.3.1.2.2
32,214,U5345,FUSE0,p:2.1.5.1.2.2
33,214,U5346,FUSE0,p:1.2.2.1.2.2
34,214,U5347,FUSE0,p:2.1.1.1.2.2
35,214,U5348,FUSE0,p:1.1.5.1.2.2
36,214,U5349,FUSE0,p:2.1.4.1.2.2
37,214,U5350,FUSE0,p:1.2.3.1.2.2
38,214,U5351,FUSE0,p:2.1.2.1.2.2
39,214,U5352,FUSE0,p:1.1.1.1.2.2
40,214,U5353,FUSE0,p:2.1.5.1.2.2
41,214,U5354,FUSE1,p:1.1.4.1.2.2
42,214,U5355,FUSE1,p:2.1.3.1.2.2
43,214,U5356,FUSE1,p:1.1.2.1.2.2
44,214,U5357,FUSE1,p:2.1.1.1.2.2
45,214,U5358,FUSE1,p:1.1.5.1.2.2
46,214,U5359,FUSE1,p:2.1.4.1.2.2
47,214,U5360,FUSE1,p:1.2.3.1.2.2
48,214,U5361,FUSE1,p:2.1.2.1.2.2
49,214,U5362,FUSE1,p:1.1.1.2.2.2
50,214,U5363,FUSE2,p:2.1.4.1.2.2
51,214,U5364,FUSE2,p:1.1.5.1.2.2
52,214,U5365,FUSE2,p:2.1.3.1.2.2
53,214,U5366,FUSE2,p:1.1.2.1.2.2
54,214,U5367,FUSE2,p:2.1.1.2.2.2
55,214,U5368,FUSE2,p:1.2.5.1.2.2
56,214,U5369,FUSE2,p:2.1.4.1.2.2
57,214,U5370,FUSE2,p:1.2.3.1.2.2
58,326,U8154,FUSE0,p:2.1.2.2.2.2
59,326,U8155,FUSE0,p:1.1.1.2.2.2
60,326,U8156,FUSE0,p:2.1.5.1.2.2
61,326,U8157,FUSE0,p:1.1.2.2.2.2
62,326,U8158,FUSE0,p:2.1.4.1.2.2
63,326,U8159,FUSE0,p:1.2.3.1.2.2
64,326,U8160,FUSE0,p:2.1.1.1.2.2
65,326,U8161,FUSE0,p:1.1.5.1.2.2
66,326,U8162,FUSE0,p:2.1.2.2.2.2
67,326,U8163,FUSE0,p:1.1.4.1.2.2
68,326,U8164,FUSE1,p:2.1.3.1.2.2
69,326,U8165,FUSE1,p:1.1.1.1.2.2
70,326,U8166,FUSE1,p:2.1.5.1.2.2
71,326,U8167,FUSE1,p:1.1.2.2.2.2
72,326,U8168,FUSE1,p:2.1.4.1.2.2
73,326,U8169,FUSE1,p:1.1.3.1.2.2
74,326,U8170,FUSE1,p:2.1.5.1.2.2
75,326,U8171,FUSE1,p:1.1.2.2.2.2
76,326,U8172,FUSE1,p:2.1.4.1.2.2
77,326,U8173,FUSE1,p:1.2.1.1.2.2
78,326,U8174,FUSE2,p:2.1.3.1.2.2
79,326,U8175,FUSE2,p:1.1.5.1.2.2
80,326,U8176,FUSE2,p:2.1.2.2.2.2
81,326,U8177,FUSE2,p:1.1.4.1.2.2
82,326,U8178,FUSE2,p:2.1.1.1.2.2
83,326,U8179,FUSE2,p:1.1.3.1.2.2
84,326,U8180,FUSE2,p:2.1.2.2.2.2
85,326,U8181,FUSE2,p:1.1.5.1.2.2
86,326,U8182,FUSE2,p:2.1.4.1.2.2
87,156,U3895,FUSE0,p:1.1.1.2.2.2
88,156,U3896,FUSE0,p:2.1.3.1.2.2
89,156,U3897,FUSE0,p:1.1.5.1.2.2
90,156,U3898,FUSE0,p:2.1.1.2.2.2
91,156,U3899,FUSE0,p:1.1.2.2.2.2
92,156,U3900,FUSE0,p:2.1.4.1.2.2
93,156,U3901,FUSE0,p:1.1.3.1.2.2
94,156,U3902,FUSE0,p:2.1.1.1.2.2
95,156,U3903,FUSE1,p:1.1.5.1.2.2
96,156,U3904,FUSE1,p:2.1.2.2.2.2
97,156,U3905,FUSE1,p:1.1.4.1.2.2
98,156,U3906,FUSE1,p:2.1.3.1.2.2
99,156,U3907,FUSE1,p:1.1.1.1.2.2
100,156,U3908,FUSE1,p:2.1.2.2.2.2
101,156,U3909,FUSE1,p:1.1.5.1.2.2
102,156,U3910,FUSE2,p:2.1.4.1.2.2
103,156,U3911,FUSE2,p:1.1.3.1.2.2
104,156,U3912,FUSE2,p:2.1.1.1.2.2
105,156,U3913,FUSE2,p:1.1.5.1.2.2
106,156,U3914,FUSE2,p:2.1.2.2.2.2
107,156,U3915,FUSE2,p:1.1.4.1.2.2
108,156,U3916,FUSE2,p:2.1.3.1.2.2
109,156,U3917,FUSE2,p:1.1.1.2.2.2
110,75,U1860,FUSE0,p:2.1.2.2.2.2
111,75,U1861,FUSE0,p:1.1.5.1.2.2
112,75,U1862,FUSE0,p:2.1.4.1.2.2
113,75,U1863,FUSE0,p:1.1.3.1.2.2
114,75,U1864,FUSE0,p:2.1.5.1.2.2
115,75,U1865,FUSE0,p:1.1.2.2.2.2
116,75,U1866,FUSE0,p:2.1.1.2.2.2
117,75,U1867,FUSE0,p:1.1.4.1.2.2
118,75,U1868,FUSE0,p:2.1.3.1.2.2
119,75,U1869,FUSE1,p:1.1.5.1.2.2
120,75,U1870,FUSE1,p:2.1.1.2.2.2
121,75,U1871,FUSE1,p:1.1.2.2.2.2
122,75,U1872,FUSE1,p:2.1.4.1.2.2
123,75,U1873,FUSE1,p:1.1.3.1.2.2
124,75,U1874,FUSE1,p:2.1.5.1.2.2
125,75,U1875,FUSE1,p:1.2.2.2.2.2
126,75,U1876,FUSE1,p:2.1.1.2.2.2
127,75,U1877,FUSE1,p:1.1.4.1.2.2
128,75,U1878,FUSE2,p:2.1.3.1.2.2
129,75,U1879,FUSE2,p:1.1.5.1.2.2
130,75,U1880,FUSE2,p:2.1.2.2.2.2
