kpi_name,value
total_units_ordered,8764
produced_units_fuse0,2909
produced_units_fuse1,2898
produced_units_fuse2,2957
makespan_seconds,484272.4704
average_cycle_time_seconds,55.1255
cycle_time_from_1_over_throughput_rate_seconds,55.257
throughput_rate_per_second,0.018097
throughput_rate_per_hour,65.1501
average_throughput_time_seconds,1633.7156
average_active_throughput_time_seconds,1633.7064
average_throughput_efficiency,0.562495
total_wait_time_seconds,3341860.4522
average_cycle_time_seconds_fuse0,165.8723
Active_average_cycle_time_seconds_fuse0,163.8918
global_average_cycle_time_seconds_fuse0,163.8918
average_cycle_time_seconds_fuse1,166.219
Active_average_cycle_time_seconds_fuse1,163.6224
global_average_cycle_time_seconds_fuse1,163.6224
average_cycle_time_seconds_fuse2,163.0171
Active_average_cycle_time_seconds_fuse2,159.1193
global_average_cycle_time_seconds_fuse2,159.1193
utilization_overall_station_1_bottom_cover,0.866875
utilization_active_window_station_1_bottom_cover,0.869743
max_queue_station_1_bottom_cover,14
average_queue_station_1_bottom_cover,0.122077
average_wait_station_1_bottom_cover_seconds,23.8834
availability_station_1_bottom_cover,1.0
utilization_overall_station_1_1_bottom_cover,0.867055
utilization_active_window_station_1_1_bottom_cover,0.869215
max_queue_station_1_1_bottom_cover,18
average_queue_station_1_1_bottom_cover,0.135907
average_wait_station_1_1_bottom_cover_seconds,23.2021
availability_station_1_1_bottom_cover,1.0
utilization_overall_station_2_drill_station,0.935755
utilization_active_window_station_2_drill_station,0.938132
max_queue_station_2_drill_station,7
average_queue_station_2_drill_station,0.247971
average_wait_station_2_drill_station_seconds,93.5624
availability_station_2_drill_station,1.0
utilization_overall_station_2_1_drill_station,0.926322
utilization_active_window_station_2_1_drill_station,0.928525
max_queue_station_2_1_drill_station,7
average_queue_station_2_1_drill_station,0.16394
average_wait_station_2_1_drill_station_seconds,68.5568
availability_station_2_1_drill_station,1.0
utilization_overall_station_2_2_drill_station,0.879395
utilization_active_window_station_2_2_drill_station,0.882321
max_queue_station_2_2_drill_station,6
average_queue_station_2_2_drill_station,0.1437
average_wait_station_2_2_drill_station_seconds,66.5628
availability_station_2_2_drill_station,1.0
utilization_overall_station_3_robot_cell,0.945712
utilization_active_window_station_3_robot_cell,0.947966
max_queue_station_3_robot_cell,3
average_queue_station_3_robot_cell,0.345932
average_wait_station_3_robot_cell_seconds,247.1861
availability_station_3_robot_cell,1.0
utilization_overall_station_3_1_robot_cell,0.943628
utilization_active_window_station_3_1_robot_cell,0.945601
max_queue_station_3_1_robot_cell,4
average_queue_station_3_1_robot_cell,0.306962
average_wait_station_3_1_robot_cell_seconds,222.148
availability_station_3_1_robot_cell,1.0
utilization_overall_station_3_2_robot_cell,0.930633
utilization_active_window_station_3_2_robot_cell,0.933466
max_queue_station_3_2_robot_cell,4
average_queue_station_3_2_robot_cell,0.160063
average_wait_station_3_2_robot_cell_seconds,161.2129
availability_station_3_2_robot_cell,1.0
utilization_overall_station_3_3_robot_cell,0.906321
utilization_active_window_station_3_3_robot_cell,0.908647
max_queue_station_3_3_robot_cell,2
average_queue_station_3_3_robot_cell,0.034656
average_wait_station_3_3_robot_cell_seconds,134.2258
availability_station_3_3_robot_cell,1.0
utilization_overall_station_3_4_robot_cell,0.8479
utilization_active_window_station_3_4_robot_cell,0.854357
max_queue_station_3_4_robot_cell,4
average_queue_station_3_4_robot_cell,0.088615
average_wait_station_3_4_robot_cell_seconds,116.135
availability_station_3_4_robot_cell,1.0
utilization_overall_station_4_inspection,0.91768
utilization_active_window_station_4_inspection,0.919761
max_queue_station_4_inspection,10
average_queue_station_4_inspection,0.522608
average_wait_station_4_inspection_seconds,115.594
availability_station_4_inspection,1.0
utilization_overall_station_4_1_inspection,0.885628
utilization_active_window_station_4_1_inspection,0.887981
max_queue_station_4_1_inspection,9
average_queue_station_4_1_inspection,0.275571
average_wait_station_4_1_inspection_seconds,81.3659
availability_station_4_1_inspection,1.0
utilization_overall_station_5_top_cover,0.868323
utilization_active_window_station_5_top_cover,0.871108
max_queue_station_5_top_cover,5
average_queue_station_5_top_cover,0.127461
average_wait_station_5_top_cover_seconds,51.477
availability_station_5_top_cover,1.0
utilization_overall_station_5_1_top_cover,0.906793
utilization_active_window_station_5_1_top_cover,0.908826
max_queue_station_5_1_top_cover,5
average_queue_station_5_1_top_cover,0.154588
average_wait_station_5_1_top_cover_seconds,61.0912
availability_station_5_1_top_cover,1.0
utilization_overall_station_5_2_top_cover,0.931591
utilization_active_window_station_5_2_top_cover,0.933305
max_queue_station_5_2_top_cover,6
average_queue_station_5_2_top_cover,0.393706
average_wait_station_5_2_top_cover_seconds,115.9684
availability_station_5_2_top_cover,1.0
utilization_overall_station_6_packaging,0.87159
utilization_active_window_station_6_packaging,0.873954
max_queue_station_6_packaging,2
average_queue_station_6_packaging,0.014377
average_wait_station_6_packaging_seconds,33.7316
availability_station_6_packaging,1.0
utilization_overall_station_6_1_packaging,0.901918
utilization_active_window_station_6_1_packaging,0.903762
max_queue_station_6_1_packaging,3
average_queue_station_6_1_packaging,0.038131
average_wait_station_6_1_packaging_seconds,39.7109
availability_station_6_1_packaging,1.0
order_qty_fuse0,2909
order_qty_fuse1,2898
order_qty_fuse2,2957
