kpi_name,value
total_units_ordered,9289
produced_units_fuse0,3084
produced_units_fuse1,3074
produced_units_fuse2,3131
makespan_seconds,598877.5274
average_cycle_time_seconds,64.4185
cycle_time_from_1_over_throughput_rate_seconds,64.4717
throughput_rate_per_second,0.015511
throughput_rate_per_hour,55.8385
average_throughput_time_seconds,999.3042
average_active_throughput_time_seconds,999.2941
average_throughput_efficiency,0.362797
total_wait_time_seconds,2918042.1935
average_cycle_time_seconds_fuse0,193.7342
Active_average_cycle_time_seconds_fuse0,170.7644
global_average_cycle_time_seconds_fuse0,170.7644
average_cycle_time_seconds_fuse1,194.3336
Active_average_cycle_time_seconds_fuse1,175.4821
global_average_cycle_time_seconds_fuse1,175.4821
average_cycle_time_seconds_fuse2,190.8537
Active_average_cycle_time_seconds_fuse2,174.8388
global_average_cycle_time_seconds_fuse2,174.8388
utilization_overall_station_1_bottom_cover,0.060966
utilization_active_window_station_1_bottom_cover,0.061087
max_queue_station_1_bottom_cover,13
average_queue_station_1_bottom_cover,0.044168
average_wait_station_1_bottom_cover_seconds,10.2889
availability_station_1_bottom_cover,0.842015
utilization_overall_station_1_1_bottom_cover,0.057734
utilization_active_window_station_1_1_bottom_cover,0.057838
max_queue_station_1_1_bottom_cover,6
average_queue_station_1_1_bottom_cover,0.010338
average_wait_station_1_1_bottom_cover_seconds,3.265
availability_station_1_1_bottom_cover,0.884891
utilization_overall_station_2_drill_station,0.164777
utilization_active_window_station_2_drill_station,0.165067
max_queue_station_2_drill_station,14
average_queue_station_2_drill_station,0.033871
average_wait_station_2_drill_station_seconds,14.9301
availability_station_2_drill_station,0.919792
utilization_overall_station_2_1_drill_station,0.036956
utilization_active_window_station_2_1_drill_station,0.037244
max_queue_station_2_1_drill_station,7
average_queue_station_2_1_drill_station,0.1
average_wait_station_2_1_drill_station_seconds,243.3083
availability_station_2_1_drill_station,0.26622
utilization_overall_station_3_robot_cell,0.920302
utilization_active_window_station_3_robot_cell,0.921681
max_queue_station_3_robot_cell,5
average_queue_station_3_robot_cell,0.179407
average_wait_station_3_robot_cell_seconds,184.6319
availability_station_3_robot_cell,1.0
utilization_overall_station_3_1_robot_cell,0.929475
utilization_active_window_station_3_1_robot_cell,0.930736
max_queue_station_3_1_robot_cell,12
average_queue_station_3_1_robot_cell,0.50959
average_wait_station_3_1_robot_cell_seconds,323.9696
availability_station_3_1_robot_cell,0.987899
utilization_overall_station_3_2_robot_cell,0.931916
utilization_active_window_station_3_2_robot_cell,0.932665
max_queue_station_3_2_robot_cell,12
average_queue_station_3_2_robot_cell,0.280538
average_wait_station_3_2_robot_cell_seconds,256.7009
availability_station_3_2_robot_cell,0.989286
utilization_overall_station_3_3_robot_cell,0.929295
utilization_active_window_station_3_3_robot_cell,0.930103
max_queue_station_3_3_robot_cell,12
average_queue_station_3_3_robot_cell,0.442018
average_wait_station_3_3_robot_cell_seconds,297.2474
availability_station_3_3_robot_cell,0.986105
utilization_overall_station_3_4_robot_cell,0.924569
utilization_active_window_station_3_4_robot_cell,0.925521
max_queue_station_3_4_robot_cell,10
average_queue_station_3_4_robot_cell,0.330553
average_wait_station_3_4_robot_cell_seconds,234.8311
availability_station_3_4_robot_cell,0.990142
utilization_overall_station_4_inspection,0.036069
utilization_active_window_station_4_inspection,0.036106
max_queue_station_4_inspection,14
average_queue_station_4_inspection,0.024393
average_wait_station_4_inspection_seconds,7.0903
availability_station_4_inspection,0.780763
utilization_overall_station_4_1_inspection,0.004422
utilization_active_window_station_4_1_inspection,0.004456
max_queue_station_4_1_inspection,0
average_queue_station_4_1_inspection,0.0
average_wait_station_4_1_inspection_seconds,0.0035
availability_station_4_1_inspection,1.0
utilization_overall_station_5_top_cover,0.001106
utilization_active_window_station_5_top_cover,0.001123
max_queue_station_5_top_cover,0
average_queue_station_5_top_cover,0.0
average_wait_station_5_top_cover_seconds,0.0
availability_station_5_top_cover,1.0
utilization_overall_station_5_1_top_cover,0.076215
utilization_active_window_station_5_1_top_cover,0.076293
max_queue_station_5_1_top_cover,14
average_queue_station_5_1_top_cover,0.02414
average_wait_station_5_1_top_cover_seconds,3.3558
availability_station_5_1_top_cover,0.921744
utilization_overall_station_6_packaging,7.3e-05
utilization_active_window_station_6_packaging,0.000128
max_queue_station_6_packaging,0
average_queue_station_6_packaging,0.0
average_wait_station_6_packaging_seconds,0.0
availability_station_6_packaging,1.0
utilization_overall_station_6_1_packaging,0.062054
utilization_active_window_station_6_1_packaging,0.062111
max_queue_station_6_1_packaging,0
average_queue_station_6_1_packaging,0.0
average_wait_station_6_1_packaging_seconds,0.0102
availability_station_6_1_packaging,0.998746
order_qty_fuse0,3084
order_qty_fuse1,3074
order_qty_fuse2,3131
total fitness,54057.53606077658
