order_id,due date,start_time,finish_time,through_put_time,lateness,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,finished_week,planned_day,finished_day
1,226121,186520.0,192380.6083,5860.608299999993,-33740.39170000001,3,FUSE0,10,FUSE1,10,FUSE2,11,2,2,7,7
2,38362,28305.2,32783.3,4478.100000000002,-5578.699999999997,2,FUSE0,9,FUSE1,9,FUSE2,9,1,1,2,2
3,160988,128557.4,133104.9,4547.5,-27883.100000000006,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1,5,5
4,527034,505345.1037,513799.4083,8454.304600000032,-13234.59169999999,1,FUSE0,9,FUSE1,9,FUSE2,9,4,4,19,18
5,382999,351328.7037,358837.8083,7509.104599999962,-24161.191700000025,4,FUSE0,9,FUSE1,8,FUSE2,9,3,3,13,13
6,126704,93268.6,98440.7,5172.099999999991,-28263.300000000003,2,FUSE0,9,FUSE1,9,FUSE2,10,1,1,4,4
7,509862,478852.3083,487394.6083,8542.300000000047,-22467.39169999998,1,FUSE0,7,FUSE1,7,FUSE2,8,4,4,18,17
8,400484,375106.7083,384651.0083,9544.299999999988,-15832.991700000013,1,FUSE0,8,FUSE1,8,FUSE2,7,3,3,14,14
9,25485,12030.0,16385.9,4355.9000000000015,-9099.099999999999,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1,1,1
10,254427,206818.3083,212815.8083,5997.5,-41611.191699999996,1,FUSE0,10,FUSE1,9,FUSE2,10,2,2,8,8
11,303521,256197.4,261820.2083,5622.808300000004,-41700.7917,1,FUSE0,7,FUSE1,7,FUSE2,8,2,2,10,10
12,153164,117612.6,121922.9,4310.299999999988,-31241.100000000006,1,FUSE0,8,FUSE1,7,FUSE2,8,1,1,5,5
13,65576,44227.6,48782.9,4555.300000000003,-16793.1,4,FUSE0,9,FUSE1,9,FUSE2,8,1,1,2,2
14,165233,134838.9396,139557.5,4718.560399999988,-25675.5,3,FUSE0,8,FUSE1,8,FUSE2,8,2,1,6,5
15,360467,329035.1083,336657.8083,7622.699999999953,-23809.191700000025,1,FUSE0,10,FUSE1,10,FUSE2,10,3,3,12,12
16,504680,474446.7083,483045.8083,8599.099999999977,-21634.191700000025,5,FUSE0,9,FUSE1,9,FUSE2,8,4,4,18,17
17,528149,506976.7083,515268.2083,8291.5,-12880.791700000002,1,FUSE0,8,FUSE1,8,FUSE2,8,4,4,19,18
18,158177,123916.5396,130379.9,6463.3603999999905,-27797.100000000006,3,FUSE0,9,FUSE1,9,FUSE2,9,1,1,5,5
19,443070,421712.0353,429508.2083,7796.17300000001,-13561.791700000002,2,FUSE0,7,FUSE1,7,FUSE2,7,4,3,16,15
20,362820,330871.5083,338126.6083,7255.100000000035,-24693.39169999998,1,FUSE0,7,FUSE1,7,FUSE2,8,3,3,12,12
21,277613,221524.6,227473.0083,5948.408299999981,-50139.99170000001,4,FUSE0,10,FUSE1,10,FUSE2,10,2,2,9,8
22,348078,314516.2,322000.6083,7484.40830000001,-26077.39169999998,5,FUSE0,8,FUSE1,9,FUSE2,9,3,3,12,12
23,524245,500558.8353,508476.2083,7917.373000000021,-15768.791700000002,1,FUSE0,8,FUSE1,8,FUSE2,9,4,4,19,18
24,79138,53988.2,58109.3,4121.100000000006,-21028.699999999997,5,FUSE0,7,FUSE1,7,FUSE2,7,1,1,3,3
25,185156,151515.2,156595.9,5080.6999999999825,-28560.100000000006,1,FUSE0,8,FUSE1,8,FUSE2,7,2,2,6,6
26,295589,242843.2,248882.6083,6039.408299999981,-46706.39170000001,2,FUSE0,8,FUSE1,8,FUSE2,8,2,2,9,9
27,438336,416653.9083,425010.2083,8356.299999999988,-13325.791700000002,1,FUSE0,9,FUSE1,9,FUSE2,10,4,3,16,15
28,559190,532999.1083,541367.4083,8368.300000000047,-17822.59169999999,3,FUSE0,7,FUSE1,7,FUSE2,7,4,4,20,19
29,209460,172840.4,178681.5,5841.100000000006,-30778.5,1,FUSE0,9,FUSE1,9,FUSE2,9,2,2,7,7
30,310315,271791.6353,277855.7353,6064.099999999977,-32459.2647,1,FUSE0,7,FUSE1,8,FUSE2,8,2,2,10,10
31,25624,13507.4,17875.3,4367.9,-7748.700000000001,1,FUSE0,8,FUSE1,8,FUSE2,9,1,1,1,1
32,522425,495342.3083,503120.6083,7778.300000000047,-19304.39169999998,3,FUSE0,6,FUSE1,6,FUSE2,6,4,4,19,18
33,496170,463717.1083,472217.8083,8500.699999999953,-23952.191700000025,1,FUSE0,9,FUSE1,9,FUSE2,10,4,4,17,17
34,563720,537340.7083,546014.6083,8673.899999999907,-17705.391700000037,2,FUSE0,10,FUSE1,10,FUSE2,9,4,4,20,19
35,457230,433508.7037,441929.0083,8420.304599999974,-15300.991700000013,2,FUSE0,8,FUSE1,7,FUSE2,8,4,4,16,16
36,551525,522117.5037,530721.0083,8603.504599999986,-20803.991700000013,1,FUSE0,9,FUSE1,9,FUSE2,10,4,4,19,19
37,293065,239876.0,245915.4083,6039.40830000001,-47149.59169999999,1,FUSE0,8,FUSE1,8,FUSE2,9,2,2,9,9
38,464766,439182.8353,447866.2083,8683.373000000021,-16899.7917,1,FUSE0,8,FUSE1,8,FUSE2,9,4,4,16,16
39,400059,372653.9037,380309.4083,7655.504599999986,-19749.59169999999,1,FUSE0,7,FUSE1,7,FUSE2,7,3,3,14,14
40,568110,541814.7037,550450.6083,8635.904600000009,-17659.391700000037,1,FUSE0,8,FUSE1,8,FUSE2,9,4,4,20,20
41,321710,284468.8,291497.8083,7029.008299999987,-30212.191700000025,1,FUSE0,9,FUSE1,9,FUSE2,9,3,3,11,11
42,26533,14976.2,22348.1,7371.899999999998,-4184.9000000000015,5,FUSE0,8,FUSE1,8,FUSE2,7,1,1,1,1
43,430314,402215.1083,412681.0083,10465.899999999965,-17632.991700000013,1,FUSE0,11,FUSE1,11,FUSE2,11,3,3,15,15
44,193385,158530.6,164824.3,6293.6999999999825,-28560.70000000001,1,FUSE0,9,FUSE1,9,FUSE2,10,2,2,6,6
45,487103,455057.1083,463559.8083,8502.699999999953,-23543.191700000025,1,FUSE0,9,FUSE1,9,FUSE2,10,4,4,17,17
46,383519,352864.7083,360030.6083,7165.900000000023,-23488.39169999998,1,FUSE0,7,FUSE1,7,FUSE2,7,3,3,13,13
47,255218,208391.6,214041.0083,5649.408299999981,-41176.99170000001,1,FUSE0,7,FUSE1,7,FUSE2,8,2,2,8,8
48,279764,227645.9875,234995.8083,7349.820800000016,-44768.191699999996,1,FUSE0,8,FUSE1,8,FUSE2,8,2,2,9,9
49,301273,254728.6,260631.3353,5902.7353,-40641.664699999994,1,FUSE0,9,FUSE1,8,FUSE2,9,2,2,10,10
50,129428,96603.2,101407.9,4804.699999999997,-28020.100000000006,4,FUSE0,8,FUSE1,9,FUSE2,9,1,1,4,4
51,216975,180215.2,185361.7,5146.5,-31613.29999999999,5,FUSE0,8,FUSE1,8,FUSE2,8,2,2,7,7
52,551743,525276.4353,533720.6083,8444.172999999952,-18022.391700000037,1,FUSE0,7,FUSE1,7,FUSE2,9,4,4,20,19
53,330105,289042.4,296131.5,7089.099999999977,-33973.5,1,FUSE0,9,FUSE1,9,FUSE2,10,3,3,11,11
54,573659,543251.1037,551981.4083,8730.304600000032,-21677.59169999999,1,FUSE0,8,FUSE1,8,FUSE2,9,4,4,20,20
55,366080,336449.6353,343755.4083,7305.7729999999865,-22324.59169999999,1,FUSE0,8,FUSE1,9,FUSE2,9,3,3,13,12
56,307052,263695.0,270110.6083,6415.608300000022,-36941.39169999998,5,FUSE0,8,FUSE1,8,FUSE2,8,2,2,10,10
57,132813,101492.9396,107727.7,6234.760399999999,-25085.300000000003,1,FUSE0,8,FUSE1,8,FUSE2,8,1,1,5,4
