station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,30723.0,0.0,565502.4,22,0.07103,0.5237,2440.6211,4660,0.054132,0.054329,,
2,Station 1.1: Bottom cover,30657.0,0.0,565495.8,22,0.068617,0.5067,2355.4917,4649,0.054016,0.054213,,
3,Station 2: Drill station,94156.3692,45.6,565610.8,8,0.013257,1.3653,11740.2408,8599,0.165897,0.166482,,
4,Station 2.1: Drill station,7425.6,72.2,565617.4,8,0.147059,1.8431,1316.0,714,0.013083,0.01313,,
5,Station 3: Robot cell,559619.1083,95.0,567279.4,23,14.655172,4519.6085,8912667.8957,1972,0.98601,0.986662,,
6,Station 3.1: Robot cell,555067.6353,135.0,567319.4,9,6.201741,2008.8762,3923335.2353,1953,0.977991,0.978637,,
7,Station 3.2: Robot cell,552790.788,181.6,567028.0,10,4.331276,1439.1692,2797745.0177,1944,0.973979,0.975204,,
8,Station 3.3: Robot cell,554382.7037,185.4,567031.8,8,5.894359,1899.8351,3704678.4197,1950,0.976784,0.978012,,
9,Station 3.4: Robot cell,551198.0911,232.0,567078.4,8,1.97619,729.9527,1410268.6228,1932,0.971173,0.972394,,
10,Station 4: Inspection,19052.6007,377.6,567380.5,2,0.000374,0.4437,3557.746,8018,0.033569,0.033602,,
11,Station 4.1: Inspection,2704.8,1834.0,551822.8083,0,0.0,0.004,5.1538,1289,0.004766,0.004918,,
12,Station 5: Top cover,1071.8,27914.3,566711.5,0,0.0,0.0298,6.9647,234,0.001888,0.001989,,
13,Station 5.1: Top cover,42832.1981,510.7,567516.1,1,0.000551,0.3604,3271.2454,9076,0.075467,0.075541,,
14,Station 6: Packaging,132.0,31515.9,454680.1353,0,0.0,0.0,0.0,33,0.000233,0.000312,,
15,Station 6.1: Packaging,38503.0895,554.3,567559.1,0,0.0,0.4348,4031.8253,9273,0.06784,0.067906,,
