disruption_type,station_id,start_time,end_time,efficiency_percentage,order_id,due_date,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2
emergency_order,,6262,,,352,20620,5,FUSE0,9,FUSE1,12,FUSE2,13
Bottom Cover Misaligned,1,14996,15872,0,,,,,,,,,
efficiency_loss,1.1,35608,36068,78,,,,,,,,,
Top Cover Stuck,5,55624,56668,0,,,,,,,,,
Bottom Cover Misaligned,1.1,79937,80910,0,,,,,,,,,
Drill To Dull,2.1,82304,85324,0,,,,,,,,,
PLC Failure,1,88015,89585,0,,,,,,,,,
Misaligned Material,3.1,88595,92441,0,,,,,,,,,
PLC Failure,5.1,113141,114503,0,,,,,,,,,
Top Cover Stuck,5.1,138223,139173,0,,,,,,,,,
emergency_order,,149113,,,357,162560,5,FUSE0,11,FUSE1,13,FUSE2,8
efficiency_loss,5,155415,156045,42,,,,,,,,,
efficiency_loss,5.2,158722,159413,25,,,,,,,,,
Cover Wrong Orientation,3.3,162329,165788,0,,,,,,,,,
inspection_failure,6,175645,,,,,,,,,,,
Drill To Dull,2,178227,181680,0,,,,,,,,,
emergency_order,,195283,,,365,215490,5,FUSE0,13,FUSE1,10,FUSE2,12
emergency_order,,195544,,,351,208293,5,FUSE0,11,FUSE1,11,FUSE2,15
Camera Dirty,4,205992,206803,0,,,,,,,,,
emergency_order,,224568,,,361,236427,5,FUSE0,10,FUSE1,9,FUSE2,12
emergency_order,,230698,,,360,246211,5,FUSE0,11,FUSE1,13,FUSE2,12
emergency_order,,243955,,,354,255020,5,FUSE0,10,FUSE1,14,FUSE2,10
efficiency_loss,2,244315,244591,15,,,,,,,,,
Misaligned Material,3.4,273290,276433,0,,,,,,,,,
efficiency_loss,6.1,287505,287692,78,,,,,,,,,
efficiency_loss,5.1,289760,290504,51,,,,,,,,,
Misaligned Material,3,302907,306683,0,,,,,,,,,
efficiency_loss,2.2,306452,306755,74,,,,,,,,,
efficiency_loss,5.1,315541,316211,48,,,,,,,,,
Cover Wrong Orientation,3.1,322874,326080,0,,,,,,,,,
Cover Wrong Orientation,3,341086,344220,0,,,,,,,,,
efficiency_loss,1,341786,342223,22,,,,,,,,,
Cover Wrong Orientation,3.4,342363,346198,0,,,,,,,,,
Misaligned Material,3.2,350470,354149,0,,,,,,,,,
emergency_order,,354965,,,358,374748,5,FUSE0,14,FUSE1,12,FUSE2,12
PLC Failure,4.1,387350,388881,0,,,,,,,,,
Top Cover Misaligned,5,391149,392037,0,,,,,,,,,
emergency_order,,397740,,,363,407300,5,FUSE0,9,FUSE1,11,FUSE2,8
emergency_order,,421328,,,355,435884,5,FUSE0,12,FUSE1,11,FUSE2,18
inspection_failure,4,428029,,,,,,,,,,,
inspection_failure,4.1,429299,,,,,,,,,,,
efficiency_loss,4.1,434558,434882,62,,,,,,,,,
emergency_order,,439485,,,353,460214,5,FUSE0,13,FUSE1,15,FUSE2,14
efficiency_loss,6,451892,452090,21,,,,,,,,,
efficiency_loss,2.1,452004,452304,10,,,,,,,,,
efficiency_loss,4,452194,452556,61,,,,,,,,,
emergency_order,,454284,,,356,471758,5,FUSE0,8,FUSE1,10,FUSE2,10
Top Cover Misaligned,5.2,465849,466681,0,,,,,,,,,
Top Cover Misaligned,5.1,478837,479741,0,,,,,,,,,
efficiency_loss,5,479935,480656,59,,,,,,,,,
Drill To Dull,2.2,481894,485115,0,,,,,,,,,
Bottom Cover Stuck,1.1,485125,486171,0,,,,,,,,,
emergency_order,,491717,,,362,503169,5,FUSE0,13,FUSE1,12,FUSE2,11
emergency_order,,502909,,,359,528089,5,FUSE0,12,FUSE1,10,FUSE2,11
Top Cover Stuck,5.2,516449,517536,0,,,,,,,,,
Misaligned Material,3.3,523746,527358,0,,,,,,,,,
emergency_order,,527979,,,364,541004,5,FUSE0,14,FUSE1,14,FUSE2,14
efficiency_loss,4.1,531371,531694,34,,,,,,,,,
Top Cover Stuck,5.1,536591,537621,0,,,,,,,,,
inspection_failure,6.1,547786,,,,,,,,,,,
efficiency_loss,4,560312,560667,17,,,,,,,,,
Bottom Cover Stuck,1,567900,568985,0,,,,,,,,,
