order_id,due date,start_time,finish_time,through_put_time,lateness,fitness,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,finished_week,planned_day,finished_day
1,462190,404805.2,407283.3,2478.0999999999767,-54906.70000000001,-0.015251861111111115,1,FUSE0,9,FUSE1,9,FUSE2,10,4,3,16,5
2,209690,116320.0,118826.3,2506.300000000003,-90863.7,-0.07138926492633345,2,FUSE0,8,FUSE1,7,FUSE2,8,2,1,7,5
3,44002,34270.8,36687.9,2417.0999999999985,-7314.0999999999985,-0.005746499675862808,2,FUSE0,8,FUSE1,8,FUSE2,8,1,1,2,2
4,415134,356792.8,359361.1,2568.2999999999884,-55772.90000000002,-0.01549247222222223,1,FUSE0,8,FUSE1,8,FUSE2,8,3,3,14,3
5,443960,409596.0,412297.5,2701.5,-31662.5,-0.008795138888888889,1,FUSE0,9,FUSE1,10,FUSE2,10,3,3,15,5
6,38493,23845.4,26326.5,2481.0999999999985,-12166.5,-0.009558905170340146,2,FUSE0,8,FUSE1,8,FUSE2,9,1,1,1,1
7,509468,445806.0,448224.3,2418.2999999999884,-61243.70000000001,-0.017012138888888893,1,FUSE0,8,FUSE1,8,FUSE2,9,4,4,18,1
8,395547,339619.6,342071.9,2452.3000000000466,-53475.09999999998,-0.014854194444444439,1,FUSE0,8,FUSE1,8,FUSE2,8,3,3,13,2
9,257129,216636.4,219098.7,2462.3000000000175,-38030.29999999999,-0.029879425578398615,2,FUSE0,8,FUSE1,8,FUSE2,8,2,2,9,3
10,410383,346128.8,348652.7,2523.9000000000233,-61730.29999999999,-0.04849990414964436,2,FUSE0,8,FUSE1,8,FUSE2,8,3,3,14,3
11,85513,67323.0,70047.7,2724.699999999997,-15465.300000000003,-0.0042959166666666675,1,FUSE0,10,FUSE1,10,FUSE2,9,1,1,3,3
12,558508,495838.0,498530.3,2692.2999999999884,-59977.70000000001,-0.08657035310093655,3,FUSE0,10,FUSE1,10,FUSE2,9,4,4,20,3
13,210503,117752.6,120357.1,2604.5,-90145.9,-0.27996161151791427,5,FUSE0,8,FUSE1,8,FUSE2,9,2,1,7,5
14,66532,50955.8,53302.5,2346.699999999997,-13229.5,-0.019095138465610385,3,FUSE0,8,FUSE1,8,FUSE2,7,1,1,3,2
15,325057,265155.2,267607.5,2452.2999999999884,-57449.5,-0.015958194444444445,1,FUSE0,8,FUSE1,8,FUSE2,8,3,2,11,5
16,135122,106747.8,109434.7,2686.899999999994,-25687.300000000003,-0.03707642392438669,3,FUSE0,9,FUSE1,9,FUSE2,9,1,1,5,4
17,206609,168642.0,171328.7,2686.7000000000116,-35280.29999999999,-0.027718821524773053,2,FUSE0,9,FUSE1,9,FUSE2,10,2,2,7,1
18,119428,99033.6,101731.3,2697.699999999997,-17696.699999999997,-0.004915749999999999,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1,4,4
19,413724,347557.6,350427.1,2869.5,-63296.90000000002,-0.01758247222222223,1,FUSE0,9,FUSE1,9,FUSE2,9,3,3,14,3
20,220003,183087.2,185506.3,2419.0999999999767,-34496.70000000001,-0.009582416666666671,1,FUSE0,8,FUSE1,8,FUSE2,8,2,2,8,2
21,523275,423828.8,426158.1,2329.2999999999884,-97116.90000000002,-0.14017617089465495,3,FUSE0,7,FUSE1,7,FUSE2,8,4,3,18,5
22,394415,325828.0,328214.7,2386.7000000000116,-66200.29999999999,-0.01838897222222222,1,FUSE0,8,FUSE1,8,FUSE2,8,3,3,13,2
23,148416,97708.6,99955.9,2247.2999999999884,-48460.100000000006,-0.10768911111111112,4,FUSE0,7,FUSE1,8,FUSE2,8,1,1,5,4
24,241328,250301.2,252687.9,2386.6999999999825,11359.899999999994,170.90433821167704,1,FUSE0,8,FUSE1,7,FUSE2,8,2,2,8,4
25,26039,13528.4,15985.7,2457.300000000001,-10053.3,-0.002792583333333333,1,FUSE0,8,FUSE1,8,FUSE2,8,1,1,1,1
26,292428,253239.2,255993.1,2753.899999999994,-36434.899999999994,-0.010120805555555555,1,FUSE0,9,FUSE1,9,FUSE2,10,2,2,10,4
27,14243,4044.0,6526.3,2482.3,-7716.7,-0.002143527777777778,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1,1,1
28,378704,315264.8,317873.9,2609.100000000035,-60830.09999999998,-0.047792640233617546,2,FUSE0,9,FUSE1,9,FUSE2,9,3,3,13,2
29,328135,260751.6,272363.1,11611.49999999997,-55771.90000000002,-0.04381854298850892,2,FUSE0,7,FUSE1,8,FUSE2,8,3,2,11,5
30,562490,486776.4,489258.3,2481.899999999965,-73231.70000000001,-0.10570085427053481,3,FUSE0,8,FUSE1,8,FUSE2,9,4,4,20,2
31,43443,32740.0,35221.1,2481.0999999999985,-8221.900000000001,-0.0022838611111111115,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1,2,2
32,525940,473457.2,475698.7,2241.5,-50241.29999999999,-0.013955916666666663,1,FUSE0,7,FUSE1,7,FUSE2,7,4,4,19,2
33,515983,453696.4,456133.1,2436.6999999999534,-59849.90000000002,-0.01662497222222223,1,FUSE0,9,FUSE1,9,FUSE2,8,4,4,18,1
34,35101,29906.6,32231.3,2324.7000000000007,-2869.7000000000007,-0.0007971388888888891,1,FUSE0,8,FUSE1,8,FUSE2,7,1,1,1,2
35,473263,411347.2,437789.9,26442.70000000001,-35473.09999999998,-0.009853638888888882,1,FUSE0,8,FUSE1,8,FUSE2,8,4,4,16,1
36,513266,447242.4,449977.9,2735.5,-63288.09999999998,-0.017580027777777774,1,FUSE0,10,FUSE1,10,FUSE2,10,4,4,18,1
37,151953,159674.4,162155.5,2481.100000000006,10202.5,152.2325277250507,1,FUSE0,9,FUSE1,9,FUSE2,8,1,2,5,1
38,421334,363735.2,365754.7,2019.5,-55579.29999999999,-0.015438694444444442,1,FUSE0,6,FUSE1,6,FUSE2,7,3,3,14,3
39,297691,254919.2,257767.5,2848.2999999999884,-39923.5,-0.011089861111111111,1,FUSE0,10,FUSE1,10,FUSE2,9,2,2,10,4
