station_index,station_name,busy_time_s,first_start_time_s,last_finish_time_s,max_queue_length,average_queue_length,average_wait_time_s,total_wait_time_s,units_processed,availability,utilization_overall,utilization_active_window,utilization_active_window_without_disruptions,active_order_utilization
1,Station 1: Bottom cover,28921.2,0.0,518344.4,6,0.004792,0.0422,184.8,4382,1.0,0.055674,0.055795,,
2,Station 1.1: Bottom cover,28921.2,0.0,518393.0,6,0.004792,0.0422,184.8,4382,1.0,0.055674,0.05579,,
3,Station 2: Drill station,85238.4,45.6,518462.4,2,0.000854,0.5344,4380.2,8196,1.0,0.164086,0.164421,,
4,Station 2.1: Drill station,5907.2,72.2,515678.8,2,0.008803,0.1415,80.4,568,1.0,0.011372,0.011457,,
5,Station 3: Robot cell,518838.0,95.0,518933.0,2,0.192,254.5461,445455.6,1750,1.0,0.998778,1.0,,
6,Station 3.1: Robot cell,518994.4,135.0,519129.4,1,0.144571,232.5752,407006.6,1750,1.0,0.999079,1.0,,
7,Station 3.2: Robot cell,518846.8,181.6,519028.4,1,0.08708,205.1212,360398.0,1757,1.0,0.998795,1.0,,
8,Station 3.3: Robot cell,519007.6,185.4,519193.0,1,0.071185,192.6429,338281.0,1756,1.0,0.999105,1.0,,
9,Station 3.4: Robot cell,518701.2,232.0,518939.0,1,0.032553,173.6605,304079.6,1751,1.0,0.998515,0.999989,,
10,Station 4: Inspection,16224.6,377.6,519294.1,0,0.0,0.0215,166.0,7726,1.0,0.031233,0.031266,,
11,Station 4.1: Inspection,2179.8,4682.4,514801.7,0,0.0,0.0032,3.3,1038,1.0,0.004196,0.004273,,
12,Station 5: Top cover,391.0,17149.1,425106.1,0,0.0,0.0,0.0,85,1.0,0.000753,0.000958,,
13,Station 5.1: Top cover,39923.4,510.7,519429.7,1,0.001152,0.1164,1010.5,8679,1.0,0.076854,0.076936,,
14,Station 6: Packaging,56.0,29365.1,270323.9,0,0.0,0.0,0.0,14,1.0,0.000108,0.000232,,
15,Station 6.1: Packaging,35000.0,554.3,519472.7,0,0.0,0.0012,10.6,8750,1.0,0.067376,0.067448,,
