unit_seq,order_id,unit_id,variant,route_id
1,144,U2885,FUSE2,0
2,144,U2886,FUSE2,0
3,144,U2887,FUSE2,0
4,144,U2888,FUSE2,0
5,552,U11047,FUSE0,0
6,552,U11048,FUSE0,0
7,552,U11049,FUSE0,0
8,552,U11050,FUSE0,0
9,552,U11051,FUSE0,0
10,552,U11052,FUSE0,0
11,552,U11053,FUSE1,0
12,552,U11054,FUSE1,0
13,552,U11055,FUSE1,0
14,552,U11056,FUSE1,0
15,552,U11057,FUSE1,0
16,552,U11058,FUSE1,0
17,552,U11059,FUSE2,0
18,552,U11060,FUSE2,0
19,552,U11061,FUSE2,0
20,552,U11062,FUSE2,0
21,552,U11063,FUSE2,0
22,552,U11064,FUSE2,0
23,552,U11065,FUSE2,0
24,796,U15936,FUSE0,0
25,796,U15937,FUSE0,0
26,796,U15938,FUSE0,0
27,796,U15939,FUSE0,0
28,796,U15940,FUSE0,0
29,796,U15941,FUSE0,0
30,796,U15942,FUSE1,0
31,796,U15943,FUSE1,0
32,796,U15944,FUSE1,0
33,796,U15945,FUSE1,0
34,796,U15946,FUSE1,0
35,796,U15947,FUSE1,0
36,796,U15948,FUSE2,0
37,796,U15949,FUSE2,0
38,796,U15950,FUSE2,0
39,796,U15951,FUSE2,0
40,796,U15952,FUSE2,0
41,796,U15953,FUSE2,0
42,703,U14076,FUSE0,0
43,703,U14077,FUSE0,0
44,703,U14078,FUSE0,0
45,703,U14079,FUSE0,0
46,703,U14080,FUSE0,0
47,703,U14081,FUSE0,0
48,703,U14082,FUSE0,0
49,703,U14083,FUSE1,0
50,703,U14084,FUSE1,0
51,703,U14085,FUSE1,0
52,703,U14086,FUSE1,0
53,703,U14087,FUSE1,0
54,703,U14088,FUSE1,0
55,703,U14089,FUSE1,0
56,703,U14090,FUSE2,0
57,703,U14091,FUSE2,0
58,703,U14092,FUSE2,0
59,703,U14093,FUSE2,0
60,703,U14094,FUSE2,0
61,703,U14095,FUSE2,0
62,639,U12797,FUSE0,0
63,639,U12798,FUSE0,0
64,639,U12799,FUSE0,0
65,639,U12800,FUSE0,0
66,639,U12801,FUSE0,0
67,639,U12802,FUSE0,0
68,639,U12803,FUSE1,0
69,639,U12804,FUSE1,0
70,639,U12805,FUSE1,0
71,639,U12806,FUSE1,0
72,639,U12807,FUSE1,0
73,639,U12808,FUSE1,0
74,639,U12809,FUSE2,0
75,639,U12810,FUSE2,0
76,639,U12811,FUSE2,0
77,639,U12812,FUSE2,0
78,639,U12813,FUSE2,0
79,639,U12814,FUSE2,0
80,639,U12815,FUSE2,0
81,5,U084,FUSE0,0
82,5,U085,FUSE0,0
83,5,U086,FUSE0,0
84,5,U087,FUSE0,0
85,5,U088,FUSE0,0
86,5,U089,FUSE0,0
87,5,U090,FUSE1,0
88,5,U091,FUSE1,0
89,5,U092,FUSE1,0
90,5,U093,FUSE1,0
91,5,U094,FUSE1,0
92,5,U095,FUSE2,0
93,5,U096,FUSE2,0
94,5,U097,FUSE2,0
95,5,U098,FUSE2,0
96,5,U099,FUSE2,0
97,5,U100,FUSE2,0
98,1031,U20624,FUSE0,0
99,1031,U20625,FUSE0,0
100,1031,U20626,FUSE0,0
101,1031,U20627,FUSE0,0
102,1031,U20628,FUSE0,0
103,1031,U20629,FUSE0,0
104,1031,U20630,FUSE0,0
105,1031,U20631,FUSE0,0
106,1031,U20632,FUSE1,0
107,1031,U20633,FUSE1,0
108,1031,U20634,FUSE1,0
109,1031,U20635,FUSE1,0
110,1031,U20636,FUSE1,0
111,1031,U20637,FUSE1,0
112,1031,U20638,FUSE1,0
113,1031,U20639,FUSE2,0
114,1031,U20640,FUSE2,0
115,1031,U20641,FUSE2,0
116,1031,U20642,FUSE2,0
117,1031,U20643,FUSE2,0
118,1031,U20644,FUSE2,0
119,1031,U20645,FUSE2,0
120,1031,U20646,FUSE2,0
121,291,U5831,FUSE0,0
122,291,U5832,FUSE0,0
123,291,U5833,FUSE0,0
124,291,U5834,FUSE0,0
125,291,U5835,FUSE0,0
126,291,U5836,FUSE0,0
127,291,U5837,FUSE0,0
128,291,U5838,FUSE1,0
129,291,U5839,FUSE1,0
130,291,U5840,FUSE1,0
131,291,U5841,FUSE1,0
132,291,U5842,FUSE1,0
133,291,U5843,FUSE1,0
134,291,U5844,FUSE1,0
135,291,U5845,FUSE2,0
136,291,U5846,FUSE2,0
137,291,U5847,FUSE2,0
138,291,U5848,FUSE2,0
139,291,U5849,FUSE2,0
140,291,U5850,FUSE2,0
141,615,U12319,FUSE0,0
142,615,U12320,FUSE0,0
143,615,U12321,FUSE0,0
144,615,U12322,FUSE0,0
145,615,U12323,FUSE0,0
146,615,U12324,FUSE0,0
147,615,U12325,FUSE0,0
148,615,U12326,FUSE1,0
149,615,U12327,FUSE1,0
150,615,U12328,FUSE1,0
151,615,U12329,FUSE1,0
152,615,U12330,FUSE1,0
153,615,U12331,FUSE1,0
154,615,U12332,FUSE1,0
155,615,U12333,FUSE2,0
156,615,U12334,FUSE2,0
157,615,U12335,FUSE2,0
158,615,U12336,FUSE2,0
159,615,U12337,FUSE2,0
160,615,U12338,FUSE2,0
161,615,U12339,FUSE2,0
162,615,U12340,FUSE2,0
163,1,U001,FUSE0,0
164,1,U002,FUSE0,0
165,1,U003,FUSE0,0
166,1,U004,FUSE0,0
167,1,U005,FUSE0,0
168,1,U006,FUSE0,0
169,1,U007,FUSE0,0
170,1,U008,FUSE0,0
171,1,U009,FUSE1,0
172,1,U010,FUSE1,0
173,1,U011,FUSE1,0
174,1,U012,FUSE1,0
175,1,U013,FUSE1,0
176,1,U014,FUSE1,0
177,1,U015,FUSE1,0
178,1,U016,FUSE1,0
179,1,U017,FUSE2,0
180,1,U018,FUSE2,0
181,1,U019,FUSE2,0
182,1,U020,FUSE2,0
183,1,U021,FUSE2,0
184,1,U022,FUSE2,0
185,1,U023,FUSE2,0
186,1035,U20705,FUSE0,0
187,1035,U20706,FUSE0,0
188,1035,U20707,FUSE0,0
189,1035,U20708,FUSE0,0
190,1035,U20709,FUSE0,0
191,1035,U20710,FUSE0,0
192,1035,U20711,FUSE1,0
193,1035,U20712,FUSE1,0
194,1035,U20713,FUSE1,0
195,1035,U20714,FUSE1,0
196,1035,U20715,FUSE1,0
197,1035,U20716,FUSE1,0
198,1035,U20717,FUSE2,0
199,1035,U20718,FUSE2,0
200,1035,U20719,FUSE2,0
201,1035,U20720,FUSE2,0
202,1035,U20721,FUSE2,0
203,1035,U20722,FUSE2,0
204,1035,U20723,FUSE2,0
205,59,U1178,FUSE0,0
206,59,U1179,FUSE0,0
207,59,U1180,FUSE0,0
208,59,U1181,FUSE0,0
209,59,U1182,FUSE0,0
210,59,U1183,FUSE0,0
211,59,U1184,FUSE0,0
212,59,U1185,FUSE1,0
213,59,U1186,FUSE1,0
214,59,U1187,FUSE1,0
215,59,U1188,FUSE1,0
216,59,U1189,FUSE1,0
217,59,U1190,FUSE1,0
218,59,U1191,FUSE1,0
219,59,U1192,FUSE2,0
220,59,U1193,FUSE2,0
221,59,U1194,FUSE2,0
222,59,U1195,FUSE2,0
223,59,U1196,FUSE2,0
224,59,U1197,FUSE2,0
225,1321,U26413,FUSE0,0
226,1321,U26414,FUSE0,0
227,1321,U26415,FUSE0,0
228,1321,U26416,FUSE0,0
229,1321,U26417,FUSE0,0
230,1321,U26418,FUSE0,0
231,1321,U26419,FUSE1,0
232,1321,U26420,FUSE1,0
233,1321,U26421,FUSE1,0
234,1321,U26422,FUSE1,0
235,1321,U26423,FUSE1,0
236,1321,U26424,FUSE1,0
237,1321,U26425,FUSE2,0
238,1321,U26426,FUSE2,0
239,1321,U26427,FUSE2,0
240,1321,U26428,FUSE2,0
241,1321,U26429,FUSE2,0
242,1321,U26430,FUSE2,0
243,1011,U20234,FUSE0,0
244,1011,U20235,FUSE0,0
245,1011,U20236,FUSE0,0
246,1011,U20237,FUSE0,0
247,1011,U20238,FUSE0,0
248,1011,U20239,FUSE0,0
249,1011,U20240,FUSE0,0
250,1011,U20241,FUSE1,0
251,1011,U20242,FUSE1,0
252,1011,U20243,FUSE1,0
253,1011,U20244,FUSE1,0
254,1011,U20245,FUSE1,0
