unit_seq,order_id,unit_id,variant,route_id
1,1,1,FUSE0,p:1.1.1.1.1.1
2,1,2,FUSE0,p:1.1.1.1.1.1
3,1,3,FUSE0,p:1.1.1.1.1.1
4,1,4,FUSE0,p:1.1.1.1.1.1
5,1,5,FUSE0,p:1.1.1.1.1.1
6,1,6,FUSE1,p:1.1.1.1.1.1
7,1,7,FUSE1,p:1.1.1.1.1.1
8,1,8,FUSE1,p:1.1.1.1.1.1
9,1,9,FUSE1,p:1.1.1.1.1.1
10,1,10,FUSE1,p:1.1.1.1.1.1
11,1,11,FUSE2,p:1.1.1.1.1.1
12,1,12,FUSE2,p:1.1.1.1.1.1
13,1,13,FUSE2,p:1.1.1.1.1.1
14,1,14,FUSE2,p:1.1.1.1.1.1
15,1,15,FUSE2,p:1.1.1.1.1.1
16,2,16,FUSE0,p:1.1.1.1.1.1
17,2,17,FUSE0,p:1.1.1.1.1.1
18,2,18,FUSE0,p:1.1.1.1.1.1
19,2,19,FUSE0,p:1.1.1.1.1.1
20,2,20,FUSE0,p:1.1.1.1.1.1
21,2,21,FUSE1,p:1.1.1.1.1.1
22,2,22,FUSE1,p:1.1.1.1.1.1
23,2,23,FUSE1,p:1.1.1.1.1.1
24,2,24,FUSE1,p:1.1.1.1.1.1
25,2,25,FUSE1,p:1.1.1.1.1.1
26,2,26,FUSE2,0
27,2,27,FUSE2,0
28,2,28,FUSE2,0
29,2,29,FUSE2,0
30,2,30,FUSE2,0
31,3,31,FUSE0,0
32,3,32,FUSE0,0
33,3,33,FUSE0,0
34,3,34,FUSE0,0
35,3,35,FUSE0,0
36,3,36,FUSE1,0
37,3,37,FUSE1,0
38,3,38,FUSE1,0
39,3,39,FUSE1,0
40,3,40,FUSE1,0
41,3,41,FUSE2,0
42,3,42,FUSE2,0
43,3,43,FUSE2,0
44,3,44,FUSE2,0
45,3,45,FUSE2,0
