kpi_name,value
total_units_ordered,3
makespan_seconds,331.0
average_cycle_time_seconds,60.9
cycle_time_from_1_over_throughput_seconds,110.3333
throughput_units_per_second,0.009063
throughput_units_per_hour,32.6284
average_flow_time_seconds,270.1
total_wait_time_seconds,229.9
utilization_overall_station_1_bottom_cover,0.059819
utilization_active_window_station_1_bottom_cover,1.0
max_queue_length_station_1_bottom_cover,2
average_queue_length_station_1_bottom_cover,0.059819
average_wait_time_station_1_bottom_cover_seconds,6.6
utilization_overall_station_2_drill_station,0.09426
utilization_active_window_station_2_drill_station,1.0
max_queue_length_station_2_drill_station,1
average_queue_length_station_2_drill_station,0.034441
average_wait_time_station_2_drill_station_seconds,3.8
utilization_overall_station_3_robot_cell,0.623263
utilization_active_window_station_3_robot_cell,1.0
max_queue_length_station_3_robot_cell,2
average_queue_length_station_3_robot_cell,0.600302
average_wait_time_station_3_robot_cell_seconds,66.2333
utilization_overall_station_4_inspection,0.019033
utilization_active_window_station_4_inspection,0.050847
max_queue_length_station_4_inspection,1
average_queue_length_station_4_inspection,0.0
average_wait_time_station_4_inspection_seconds,0.0
utilization_overall_station_5_top_cover,0.041692
utilization_active_window_station_5_top_cover,0.109177
max_queue_length_station_5_top_cover,1
average_queue_length_station_5_top_cover,0.0
average_wait_time_station_5_top_cover_seconds,0.0
utilization_overall_station_6_packaging,0.036254
utilization_active_window_station_6_packaging,0.09539
max_queue_length_station_6_packaging,1
average_queue_length_station_6_packaging,0.0
average_wait_time_station_6_packaging_seconds,0.0
order_qty_fuse0,2
order_qty_fuse2,1
