unit_id,variant,station_index,station_name,arrival_time_s,start_time_s,finish_time_s,process_time_s,wait_time_s,queue_length_on_arrival
U001,FUSE2,1,Station 1: Bottom cover,0.0,0.0,6.6,6.6,0.0,0
U002,FUSE0,1,Station 1: Bottom cover,0.0,6.6,13.2,6.6,6.6,0
U003,FUSE0,1,Station 1: Bottom cover,0.0,13.2,19.8,6.6,13.2,1
U001,FUSE2,2,Station 2: Drill station,16.9,16.9,27.3,10.4,0.0,0
U002,FUSE0,2,Station 2: Drill station,23.5,27.3,37.7,10.4,3.8,0
U003,FUSE0,2,Station 2: Drill station,30.1,37.7,48.1,10.4,7.6,0
U001,FUSE2,3,Station 3: Robot cell,55.3,55.3,139.8,84.5,0.0,0
U002,FUSE0,3,Station 3: Robot cell,65.7,139.8,200.7,60.9,74.1,0
U001,FUSE2,4,Station 4: Inspection,153.3,153.3,155.4,2.1,0.0,0
U001,FUSE2,5,Station 5: Top cover,165.8,165.8,170.4,4.6,0.0,0
U003,FUSE0,3,Station 3: Robot cell,76.1,200.7,261.6,60.9,124.6,1
U001,FUSE2,6,Station 6: Packaging,205.2,205.2,209.2,4.0,0.0,0
U002,FUSE0,4,Station 4: Inspection,214.2,214.2,216.3,2.1,0.0,0
U002,FUSE0,5,Station 5: Top cover,226.7,226.7,231.3,4.6,0.0,0
U002,FUSE0,6,Station 6: Packaging,266.1,266.1,270.1,4.0,0.0,0
U003,FUSE0,4,Station 4: Inspection,275.1,275.1,277.2,2.1,0.0,0
U003,FUSE0,5,Station 5: Top cover,287.6,287.6,292.2,4.6,0.0,0
U003,FUSE0,6,Station 6: Packaging,327.0,327.0,331.0,4.0,0.0,0
