kpi_name,value
total_units_ordered,5
makespan_seconds,547.2
average_cycle_time_seconds,84.5
cycle_time_from_1_over_throughput_seconds,109.44
throughput_units_per_second,0.009137
throughput_units_per_hour,32.8947
average_flow_time_seconds,378.2
total_wait_time_seconds,845.0
utilization_overall_station_1_bottom_cover,0.060307
utilization_active_window_station_1_bottom_cover,1.0
max_queue_station_1_bottom_cover,4
average_queue_station_1_bottom_cover,0.120614
average_wait_station_1_bottom_cover_seconds,13.2
utilization_overall_station_2_drill_station,0.095029
utilization_active_window_station_2_drill_station,1.0
max_queue_station_2_drill_station,2
average_queue_station_2_drill_station,0.069444
average_wait_station_2_drill_station_seconds,7.6
utilization_overall_station_3_robot_cell,0.772113
utilization_active_window_station_3_robot_cell,1.0
max_queue_station_3_robot_cell,4
average_queue_station_3_robot_cell,1.354167
average_wait_station_3_robot_cell_seconds,148.2
utilization_overall_station_4_inspection,0.019189
utilization_active_window_station_4_inspection,0.030873
max_queue_station_4_inspection,1
average_queue_station_4_inspection,0.0
average_wait_station_4_inspection_seconds,0.0
utilization_overall_station_5_top_cover,0.042032
utilization_active_window_station_5_top_cover,0.067134
max_queue_station_5_top_cover,1
average_queue_station_5_top_cover,0.0
average_wait_station_5_top_cover_seconds,0.0
utilization_overall_station_6_packaging,0.03655
utilization_active_window_station_6_packaging,0.05848
max_queue_station_6_packaging,1
average_queue_station_6_packaging,0.0
average_wait_station_6_packaging_seconds,0.0
order_qty_fuse2,5
