kpi_name,value
total_units_ordered,4
makespan_seconds,407.4
average_cycle_time_seconds,73.9333
cycle_time_from_1_over_throughput_seconds,101.85
throughput_units_per_second,0.009818
throughput_units_per_hour,35.3461
average_flow_time_seconds,297.875
total_wait_time_seconds,410.0
utilization_overall_station_1_bottom_cover,0.064801
utilization_active_window_station_1_bottom_cover,1.0
max_queue_station_1_bottom_cover,2
average_queue_station_1_bottom_cover,0.072656
average_wait_station_1_bottom_cover_seconds,7.4
utilization_overall_station_2_drill_station,0.102111
utilization_active_window_station_2_drill_station,1.0
max_queue_station_2_drill_station,2
average_queue_station_2_drill_station,0.055965
average_wait_station_2_drill_station_seconds,5.7
utilization_overall_station_3_robot_cell,0.693913
utilization_active_window_station_3_robot_cell,1.0
max_queue_station_3_robot_cell,3
average_queue_station_3_robot_cell,0.877761
average_wait_station_3_robot_cell_seconds,89.4
utilization_overall_station_4_inspection,0.020619
utilization_active_window_station_4_inspection,0.037517
max_queue_station_4_inspection,1
average_queue_station_4_inspection,0.0
average_wait_station_4_inspection_seconds,0.0
utilization_overall_station_5_top_cover,0.045164
utilization_active_window_station_5_top_cover,0.081272
max_queue_station_5_top_cover,1
average_queue_station_5_top_cover,0.0
average_wait_station_5_top_cover_seconds,0.0
utilization_overall_station_6_packaging,0.039273
utilization_active_window_station_6_packaging,0.070859
max_queue_station_6_packaging,1
average_queue_station_6_packaging,0.0
average_wait_station_6_packaging_seconds,0.0
order_qty_fuse0,2
order_qty_fuse1,1
order_qty_fuse2,1
simulation_time_seconds,3600.0
